asin,snapshot_ts,total_reviews,title,price,bsr,category_path,rating,review_count,captured_at
B0D4Z9C562,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B085899TQ9,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BJSFSNKT,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CVX9PSL9,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B07Z8HNKKT,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0DPK22VCQ,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0D2D75VNY,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0C8PSMPTH,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0D5Y2SG6P,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B00NG57H4S,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CRTYZG5C,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CT6C579K,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0B5VHRX7F,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B09NBVS84T,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0FJ8RXV1K,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0FHWF8GC5,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0DHX142GP,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CZPGX972,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CBLKS51N,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0BTJ9WHL9,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0CBLLJTTN,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B0F21S7DT5,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
B087JWTWF9,20250920_130424,0,,,,Wireless Headphones,,,2025-09-20T16:08:37
