asin,date,review_count,avg_sentiment,pos_cnt,neut_cnt,neg_cnt
B00QHOCTG6,2025-05-12,1,0.0,0,1,0
B00QHOCTG6,2025-06-13,2,0.251,1,1,0
B00QHOCTG6,2025-06-26,1,0.7,1,0,0
B00QHOCTG6,2025-07-30,1,0.182,0,1,0
B00QHOCTG6,2025-08-26,1,0.45,1,0,0
B00QHOCTG6,2025-10-04,1,-0.025,0,1,0
B01LDVQIF0,2023-02-15,1,0.152,0,1,0
B01LDVQIF0,2023-03-09,1,0.0,0,1,0
B01LDVQIF0,2023-03-11,1,0.412,1,0,0
B01LDVQIF0,2023-03-13,1,0.0,0,1,0
B01LDVQIF0,2023-03-15,1,0.358,1,0,0
B01LDVQIF0,2023-03-16,1,-0.075,0,1,0
B01LDVQIF0,2023-03-17,1,0.2,0,1,0
B01LDVQIF0,2023-03-19,1,0.8,1,0,0
B01LDVQIF0,2023-03-23,1,0.443,1,0,0
B01LDVQIF0,2023-03-24,1,0.433,1,0,0
B01LDVQIF0,2023-03-27,1,0.167,0,1,0
B01LDVQIF0,2023-03-28,1,0.3,0,1,0
B01LDVQIF0,2023-03-31,1,-0.164,0,1,0
B01LDVQIF0,2023-04-05,1,0.0,0,1,0
B01LDVQIF0,2023-04-09,1,0.525,1,0,0
B01LDVQIF0,2023-04-13,1,-0.35,0,0,1
B01LDVQIF0,2023-04-19,1,0.0,0,1,0
B01LDVQIF0,2023-04-26,1,0.367,1,0,0
B01LDVQIF0,2023-04-27,1,0.286,0,1,0
B01LDVQIF0,2023-05-03,1,0.146,0,1,0
B01LDVQIF0,2023-05-04,1,0.145,0,1,0
B01LDVQIF0,2023-05-13,1,0.7,1,0,0
B01LDVQIF0,2023-05-15,1,-0.035,0,1,0
B01LDVQIF0,2023-05-27,1,0.9,1,0,0
B01LDVQIF0,2023-06-03,1,0.611,1,0,0
B01LDVQIF0,2023-06-05,1,0.0,0,1,0
B01LDVQIF0,2023-06-08,1,0.1,0,1,0
B01LDVQIF0,2023-06-14,1,0.088,0,1,0
B01LDVQIF0,2023-06-16,1,0.5,1,0,0
B01LDVQIF0,2023-06-22,1,0.0,0,1,0
B01LDVQIF0,2023-07-08,1,0.4,1,0,0
B01LDVQIF0,2023-07-11,1,0.378,1,0,0
B01LDVQIF0,2023-07-31,1,0.071,0,1,0
B01LDVQIF0,2023-08-03,2,0.032,0,2,0
B01LDVQIF0,2023-08-07,1,0.325,1,0,0
B01LDVQIF0,2023-08-25,1,-0.455,0,0,1
B01LDVQIF0,2023-08-30,1,0.0,0,1,0
