asin,captured_at,price,rating,total_reviews,bsr,category_path,title
B0CT9SBWC9,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DP8WJ5BN,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B09S8XP2J2,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0C6KFZC9Z,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CTB1BM3P,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DMP36MVC,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0BH4HYM6C,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CMFXR4W5,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0D4Z9C562,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B085899TQ9,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0BJSFSNKT,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CVX9PSL9,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B07Z8HNKKT,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DPK22VCQ,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0D2D75VNY,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0C8PSMPTH,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0D5Y2SG6P,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B00NG57H4S,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CRTYZG5C,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CT6C579K,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0B5VHRX7F,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B09NBVS84T,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0FJ8RXV1K,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0FHWF8GC5,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0DHX142GP,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CZPGX972,2025-09-20T23:10:25,,,0,,Wireless Headphones,
B0CBLKS51N,2025-09-20T23:10:25,,,0,,Wireless Headphones,
